"The data lists trees maintained by the City of Edinburgh Council. The data is updated on a regular basis, please contact the Open Data team if you are looking for the most up to date version.",,,,
,,,,
Tilia x europaea,Common Lime,"Albert Street, Edinburgh"," 326624,675025",Semi-mature
Tilia x europaea,Common Lime,"Albert Street, Edinburgh"," 326619,675025",Semi-mature
Tilia x europaea,Common Lime,"Albert Street, Edinburgh"," 326596,675019",Semi-mature
Tilia x europaea,Common Lime,"Albert Street, Edinburgh"," 326591,675019",Semi-mature
Tilia x europaea,Common Lime,"Albert Street, Edinburgh"," 326774,675015",Semi-mature
Tilia x europaea,Common Lime,"Albert Street, Edinburgh"," 326907,675008",Semi-mature
Tilia x europaea,Common Lime,"Albert Street, Edinburgh"," 326947,675006",Semi-mature
Prunus spp.,Cherry spp,"Alemoor Crescent, Edinburgh"," 327874,675214",Semi-mature
Prunus spp.,Cherry spp,"Alemoor Crescent, Edinburgh"," 327877,675207",Semi-mature
Prunus spp.,Cherry spp,"Alemoor Crescent, Edinburgh"," 327853,675195",Semi-mature
Prunus spp.,Cherry spp,"Alemoor Crescent, Edinburgh"," 327856,675192",Semi-mature
Prunus spp.,Cherry spp,"Alemoor Park, Edinburgh"," 327920,675358",Middle Aged
Sorbus intermedia,Swedish Whitebeam,"Alemoor Park, Edinburgh"," 327927,675361",
Sorbus intermedia,Swedish Whitebeam,"Alemoor Park, Edinburgh"," 327931,675363",Semi-mature
Prunus avium,Wild Cherry,"Alnwickhill Drive, Edinburgh"," 327008,668769",Middle Aged
Malus spp.,Apple spp,"Alnwickhill Drive, Edinburgh"," 327013,668771",Middle Aged
Prunus avium,Wild Cherry,"Alnwickhill Drive, Edinburgh"," 327018,668774",Middle Aged
Acer platanoides,Norway Maple,"Alnwickhill Drive, Edinburgh"," 327021,668774",Middle Aged
Prunus avium,Wild Cherry,"Alnwickhill Drive, Edinburgh"," 327030,668777",Semi-mature
Prunus avium,Wild Cherry,"Alnwickhill Drive, Edinburgh"," 327032,668780",Middle Aged
Prunus spp.,Cherry spp,"Alnwickhill Drive, Edinburgh"," 326972,668754",Middle Aged
Prunus spp.,Cherry spp,"Alnwickhill Drive, Edinburgh"," 326942,668729",Semi-mature
Acer spp.,Maple spp,"Alnwickhill Drive, Edinburgh"," 326953,668726",Semi-mature
Prunus spp.,Cherry spp,"Alnwickhill Drive, Edinburgh"," 326958,668745",Semi-mature
Sorbus spp.,Rowan/Whitebeam fam.,"Alnwickhill Drive, Edinburgh"," 326952,668740",Juvenile
Sorbus spp.,Rowan/Whitebeam fam.,"Alnwickhill Drive, Edinburgh"," 326957,668730",Juvenile
Sorbus spp.,Rowan/Whitebeam fam.,"Alnwickhill Drive, Edinburgh"," 326962,668734",Juvenile
Sorbus spp.,Rowan/Whitebeam fam.,"Alnwickhill Drive, Edinburgh"," 326971,668741",Juvenile
Sorbus spp.,Rowan/Whitebeam fam.,"Alnwickhill Drive, Edinburgh"," 326982,668743",Juvenile
Prunus spp.,Cherry spp,"Alnwickhill Drive, Edinburgh"," 326981,668758",Semi-mature
Malus spp.,Apple spp,"Alnwickhill Drive, Edinburgh"," 326966,668751",Juvenile
Prunus avium,Wild Cherry,"Alnwickhill Drive, Edinburgh"," 327044,668785",Semi-mature
Prunus avium,Wild Cherry,"Alnwickhill Drive, Edinburgh"," 327074,668797",Semi-mature
Sorbus intermedia,Swedish Whitebeam,"Alnwickhill Drive, Edinburgh"," 327087,668803",Semi-mature
Sorbus spp.,Rowan/Whitebeam fam.,"Alnwickhill Drive, Edinburgh"," 326669,668642",Semi-mature
Acer spp.,Maple spp,"Alnwickhill Drive, Edinburgh"," 326670,668645",Semi-mature
Sorbus spp.,Rowan/Whitebeam fam.,"Alnwickhill Drive, Edinburgh"," 326658,668617",Semi-mature
Acer spp.,Maple spp,"Alnwickhill Drive, Edinburgh"," 326668,668627",Semi-mature
Tilia spp.,Lime spp,"Alnwickhill Drive, Edinburgh"," 326681,668633",Semi-mature
Tilia spp.,Lime spp,"Alnwickhill Drive, Edinburgh"," 326679,668633",Semi-mature
Prunus spp.,Cherry spp,"Alnwickhill Drive, Edinburgh"," 326717,668644",Juvenile
Crataegus spp.,Thorn species,"Alnwickhill Drive, Edinburgh"," 326721,668645",Juvenile
Prunus spp.,Cherry spp,"Alnwickhill Drive, Edinburgh"," 326702,668650",Semi-mature
Sorbus spp.,Rowan/Whitebeam fam.,"Alnwickhill Drive, Edinburgh"," 326714,668652",Semi-mature
Acer spp.,Maple spp,"Alnwickhill Drive, Edinburgh"," 326732,668647",Semi-mature
Acer spp.,Maple spp,"Alnwickhill Drive, Edinburgh"," 326737,668648",Semi-mature
Acer spp.,Maple spp,"Alnwickhill Drive, Edinburgh"," 326759,668652",Semi-mature
Acer spp.,Maple spp,"Alnwickhill Drive, Edinburgh"," 326755,668651",Semi-mature
Acer spp.,Maple spp,"Alnwickhill Drive, Edinburgh"," 326753,668659",Semi-mature
Acer spp.,Maple spp,"Alnwickhill Drive, Edinburgh"," 326764,668661",Semi-mature
Prunus spp.,Cherry spp,"Alnwickhill Drive, Edinburgh"," 326758,668660",Juvenile
Malus spp.,Apple spp,"Alnwickhill Drive, Edinburgh"," 326749,668650",Juvenile
Malus spp.,Apple spp,"Alnwickhill Drive, Edinburgh"," 326778,668663",Juvenile
Sorbus spp.,Rowan/Whitebeam fam.,"Alnwickhill Drive, Edinburgh"," 326769,668662",Juvenile
Sorbus spp.,Rowan/Whitebeam fam.,"Alnwickhill Drive, Edinburgh"," 326782,668664",Juvenile
Acer spp.,Maple spp,"Alnwickhill Drive, Edinburgh"," 326799,668659",Semi-mature
Sorbus spp.,Rowan/Whitebeam fam.,"Alnwickhill Drive, Edinburgh"," 326793,668667",Juvenile
Sorbus spp.,Rowan/Whitebeam fam.,"Alnwickhill Drive, Edinburgh"," 326797,668667",Juvenile
Sorbus spp.,Rowan/Whitebeam fam.,"Alnwickhill Drive, Edinburgh"," 326815,668662",Juvenile
Acer spp.,Maple spp,"Alnwickhill Drive, Edinburgh"," 326809,668669",Semi-mature
Acer spp.,Maple spp,"Alnwickhill Drive, Edinburgh"," 326813,668671",Semi-mature
Prunus spp.,Cherry spp,"Alnwickhill Drive, Edinburgh"," 326821,668663",Semi-mature
Sorbus spp.,Rowan/Whitebeam fam.,"Alnwickhill Drive, Edinburgh"," 326826,668664",Juvenile
Acer spp.,Maple spp,"Alnwickhill Drive, Edinburgh"," 326840,668675",Semi-mature
Acer spp.,Maple spp,"Alnwickhill Drive, Edinburgh"," 326845,668676",Semi-mature
Sorbus spp.,Rowan/Whitebeam fam.,"Alnwickhill Drive, Edinburgh"," 326879,668683",Juvenile
Acer spp.,Maple spp,"Alnwickhill Drive, Edinburgh"," 326903,668683",Semi-mature
Prunus spp.,Cherry spp,"Alnwickhill Drive, Edinburgh"," 326872,668681",Semi-mature
Acer spp.,Maple spp,"Alnwickhill Drive, Edinburgh"," 326882,668675",Semi-mature
Crataegus spp.,Thorn species,"Alnwickhill Drive, Edinburgh"," 326895,668689",Juvenile
Tilia spp.,Lime spp,"Alnwickhill Drive, Edinburgh"," 326914,668690",Semi-mature
Betula spp.,Birch spp,"Alnwickhill Drive, Edinburgh"," 326920,668694",Juvenile
Sorbus spp.,Rowan/Whitebeam fam.,"Alnwickhill Drive, Edinburgh"," 326923,668708",Juvenile
Prunus spp.,Cherry spp,"Alnwickhill Drive, Edinburgh"," 326929,668715",Semi-mature
Prunus spp.,Cherry spp,"Alnwickhill Park, Edinburgh"," 327076,668698",Juvenile
Malus spp.,Apple spp,"Alnwickhill Park, Edinburgh"," 327077,668704",Juvenile
Acer spp.,Maple spp,"Alnwickhill Park, Edinburgh"," 327082,668699",Semi-mature
Prunus spp.,Cherry spp,"Alnwickhill Park, Edinburgh"," 327084,668693",Semi-mature
Acer spp.,Maple spp,"Alnwickhill Park, Edinburgh"," 327082,668690",Semi-mature
Acer spp.,Maple spp,"Alnwickhill Park, Edinburgh"," 327087,668687",Semi-mature
Prunus spp.,Cherry spp,"Alnwickhill Park, Edinburgh"," 327088,668680",Semi-mature
Prunus spp.,Cherry spp,"Alnwickhill Park, Edinburgh"," 327083,668678",Semi-mature
Acer spp.,Maple spp,"Alnwickhill Park, Edinburgh"," 327063,668674",Semi-mature
Prunus spp.,Cherry spp,"Alnwickhill Park, Edinburgh"," 327060,668681",Semi-mature
Prunus spp.,Cherry spp,"Alnwickhill Park, Edinburgh"," 327057,668687",Semi-mature
Prunus spp.,Cherry spp,"Alnwickhill Park, Edinburgh"," 327059,668692",Semi-mature
Sorbus aucuparia,Rowan,"Alnwickhill Terrace, Edinburgh"," 326749,668716",Juvenile
Salix caprea,Goat Willow,"Andrew Wood Court, Edinburgh"," 325511,676970",Mature
Acer pseudoplatanus,Sycamore,"Andrew Wood Court, Edinburgh"," 325503,676972",Mature
Acer pseudoplatanus,Sycamore,"Andrew Wood Court, Edinburgh"," 325475,676982",Mature
Ulmus spp.,Elm spp,"Annandale Street, Edinburgh"," 326204,674728",Juvenile
Acer platanoides,Norway Maple,"Annandale Street, Edinburgh"," 326176,674758",Juvenile
Acer platanoides,Norway Maple,"Annandale Street, Edinburgh"," 325942,675005",Semi-mature
Sorbus aucuparia,Rowan,"Annandale Street, Edinburgh"," 325894,675046",Semi-mature
Acer platanoides,Norway Maple,"Annandale Street, Edinburgh"," 325922,675017",Semi-mature
Acer platanoides,Norway Maple,"Annandale Street, Edinburgh"," 325964,674968",Semi-mature
Acer platanoides,Norway Maple,"Annandale Street, Edinburgh"," 325965,674957",Semi-mature
Acer platanoides,Norway Maple,"Annandale Street, Edinburgh"," 325961,674955",Semi-mature
Acer platanoides,Norway Maple,"Annandale Street, Edinburgh"," 325968,674950",Semi-mature
Tilia spp.,Lime spp,"Annandale Street, Edinburgh"," 325987,674946",Juvenile
Tilia spp.,Lime spp,"Annandale Street, Edinburgh"," 325990,674943",Semi-mature
Tilia spp.,Lime spp,"Annandale Street, Edinburgh"," 325991,674941",Semi-mature
Acer platanoides,Norway Maple,"Annandale Street, Edinburgh"," 326111,674813",Juvenile
Acer platanoides,Norway Maple,"Annandale Street, Edinburgh"," 326114,674811",Juvenile
Sorbus aucuparia,Rowan,"Annandale Street, Edinburgh"," 325993,674942",Semi-mature
Sorbus aucuparia,Rowan,"Annandale Street, Edinburgh"," 325928,675009",Semi-mature
Sorbus aucuparia,Rowan,"Annandale Street, Edinburgh"," 325917,675023",Semi-mature
Acer platanoides,Norway Maple,"Annandale Street, Edinburgh"," 325973,674974",Semi-mature
Acer platanoides,Norway Maple,"Annandale Street, Edinburgh"," 325975,674971",Semi-mature
Acer platanoides,Norway Maple,"Annandale Street, Edinburgh"," 325978,674969",Semi-mature
Sorbus aucuparia,Rowan,"Annandale Street, Edinburgh"," 325997,674952",Semi-mature
Tilia spp.,Lime spp,"Annandale Street, Edinburgh"," 326147,674773",Juvenile
Cotoneaster frigidus,Tree Cotoneaster,"Annfield Street, Edinburgh"," 325831,676889",Middle Aged
Betula utilis,Himalayan Birch,"Annfield Street, Edinburgh"," 325839,676892",Semi-mature
Prunus avium,Wild Cherry,"Annfield Street, Edinburgh"," 325844,676888",Mature
Prunus avium,Wild Cherry,"Annfield Street, Edinburgh"," 325847,676892",Mature
Prunus spp.,Cherry spp,"Annfield Street, Edinburgh"," 325850,676890",Middle Aged
Betula pubescens,Downy Birch,"Annfield Street, Edinburgh"," 325854,676890",Semi-mature
Acer pseudoplatanus,Sycamore,"Annfield Street, Edinburgh"," 325854,676887",Semi-mature
Betula utilis,Himalayan Birch,"Annfield Street, Edinburgh"," 325858,676884",Semi-mature
Acer pseudoplatanus,Sycamore,"Annfield Street, Edinburgh"," 325861,676886",Semi-mature
Betula utilis,Himalayan Birch,"Annfield Street, Edinburgh"," 325861,676885",Semi-mature
Betula utilis,Himalayan Birch,"Annfield Street, Edinburgh"," 325864,676890",Middle Aged
Betula utilis,Himalayan Birch,"Annfield Street, Edinburgh"," 325868,676891",Semi-mature
Alnus glutinosa,Common Alder,"Annfield Street, Edinburgh"," 325872,676889",Semi-mature
Sorbus aucuparia,Rowan,"Annfield Street, Edinburgh"," 325869,676902",Semi-mature
Sorbus aucuparia,Rowan,"Annfield Street, Edinburgh"," 325858,676903",Semi-mature
Acer platanoides,Norway Maple,"Annfield, Edinburgh"," 325795,676991",Middle Aged
Acer pseudoplatanus,Sycamore,"Annfield, Edinburgh"," 325797,676985",Semi-mature
Acer platanoides,Norway Maple,"Annfield, Edinburgh"," 325802,676990",Semi-mature
Acer pseudoplatanus,Sycamore,"Annfield, Edinburgh"," 325809,676987",Semi-mature
Prunus spp.,Cherry spp,"Annfield, Edinburgh"," 325852,676966",Semi-mature
Prunus spp.,Cherry spp,"Annfield, Edinburgh"," 325858,676964",Semi-mature
Malus spp.,Apple spp,"Ashton Grove, Edinburgh"," 327860,670323",Semi-mature
Acer spp.,Maple spp,"Ashton Grove, Edinburgh"," 327865,670322",Semi-mature
Acer spp.,Maple spp,"Ashton Grove, Edinburgh"," 327863,670328",Semi-mature
Fraxinus excelsior,Common Ash,"Ashton Grove, Edinburgh"," 327887,670333",Semi-mature
Acer spp.,Maple spp,"Ashton Grove, Edinburgh"," 327926,670344",Semi-mature
Fraxinus excelsior,Common Ash,"Ashton Grove, Edinburgh"," 327935,670351",Semi-mature
Acer pseudoplatanus,Sycamore,"Auchinleck Court, Edinburgh"," 325504,677004",Mature
Prunus avium,Wild Cherry,"Balderston Gardens, Edinburgh"," 327986,670275",Middle Aged
Acer platanoides,Norway Maple,"Balfour Street, Edinburgh"," 326507,675607",Semi-mature
Acer platanoides,Norway Maple,"Balfour Street, Edinburgh"," 326515,675594",Semi-mature
Acer platanoides,Norway Maple,"Balfour Street, Edinburgh"," 326524,675582",Semi-mature
Acer platanoides,Norway Maple,"Balfour Street, Edinburgh"," 326535,675568",Semi-mature
Acer platanoides,Norway Maple,"Balfour Street, Edinburgh"," 326569,675520",Semi-mature
Acer platanoides,Norway Maple,"Balfour Street, Edinburgh"," 326597,675479",Semi-mature
Acer platanoides,Norway Maple,"Balfour Street, Edinburgh"," 326623,675444",Semi-mature
Acer platanoides,Norway Maple,"Balfour Street, Edinburgh"," 326632,675431",Semi-mature
Acer platanoides,Norway Maple,"Balfour Street, Edinburgh"," 326658,675395",Semi-mature
Carpinus betulus 'Fastigiata',Fastigiate Hornbeam,"Balfour Street, Edinburgh"," 326666,675383",Semi-mature
Carpinus betulus 'Fastigiata',Fastigiate Hornbeam,"Balfour Street, Edinburgh"," 326668,675379",Semi-mature
Carpinus betulus 'Fastigiata',Fastigiate Hornbeam,"Balfour Street, Edinburgh"," 326675,675390",Semi-mature
Acer platanoides,Norway Maple,"Balfour Street, Edinburgh"," 326667,675401",Semi-mature
Acer platanoides,Norway Maple,"Balfour Street, Edinburgh"," 326658,675413",Semi-mature
Acer platanoides,Norway Maple,"Balfour Street, Edinburgh"," 326631,675450",Semi-mature
Acer platanoides,Norway Maple,"Balfour Street, Edinburgh"," 326617,675471",Semi-mature
Acer platanoides,Norway Maple,"Balfour Street, Edinburgh"," 326606,675486",Semi-mature
Acer platanoides,Norway Maple,"Balfour Street, Edinburgh"," 326594,675504",Semi-mature
Acer platanoides,Norway Maple,"Balfour Street, Edinburgh"," 326590,675509",Semi-mature
Acer platanoides,Norway Maple,"Balfour Street, Edinburgh"," 326579,675525",Semi-mature
Acer platanoides,Norway Maple,"Balfour Street, Edinburgh"," 326570,675537",Semi-mature
Acer platanoides,Norway Maple,"Balfour Street, Edinburgh"," 326524,675612",Semi-mature
Acer platanoides,Norway Maple,"Balfour Street, Edinburgh"," 326520,675617",Semi-mature
Acer platanoides,Norway Maple,"Balfour Street, Edinburgh"," 326517,675622",Semi-mature
Acer platanoides,Norway Maple,"Balfour Street, Edinburgh"," 326514,675625",Semi-mature
Carpinus betulus,Hornbeam,"Balfour Street, Edinburgh"," 326678,675384",Juvenile
,,"Balfour Street, Edinburgh"," 326559,675531",
